old_entity,old_variable,new_entity,new_variable
Household,identification_date_day,
Household,identification_date_month,
Household,identification_date_year,
Household,region,
Household,department,
Household,sub_prefecture,
Household,village,
Household,neighborhood,
Household,household_id,
Household,household_code,HouseholdIdentifier,identifier
Household,household_old_code,
Household,block,
Household,batch,
Household,reference,
Household,marital_status,Obs
Household,wife_number,Obs
Household,household_chief_handicap,Obs
Household,member_number,HouseholdCharacteristic
Household,entry_point,HouseholdCharacteristic,entryPoint
Household,other_entry_point,HouseholdCharacteristic
Household,active_persons_number,HouseholdCharacteristic,numberOfActivePerson
Household,ovc_number,HouseholdCharacteristic,numberOfOvc
Household,meal_number,HouseholdCharacteristic,numberOfMealPerDay
Household,housing_type,HouseholdCharacteristic,
Household,other_housing_type,HouseholdCharacteristic,
Household,room_number,HouseholdCharacteristic,
Household,house_situation,HouseholdCharacteristic,
Household,commodity,HouseholdCharacteristic,
Household,main_water_source,HouseholdCharacteristic,
Household,other_main_water_source,HouseholdCharacteristic,
Household,main_electricity_source,HouseholdCharacteristic,
Household,other_main_electricity_source,HouseholdCharacteristic,
Household,main_combustible,HouseholdCharacteristic,
Household,other_main_combustible,HouseholdCharacteristic,
Household,religion,HouseholdCharacteristic,
Household,other_religion,HouseholdCharacteristic,
Household,ethnicity,HouseholdCharacteristic,
Household,other_household_resource,HouseholdCharacteristic,
Household,social_capital,HouseholdCharacteristic,
Household,other_social_capital,HouseholdCharacteristic,
Household,main_incoming_source,HouseholdCharacteristic,
Household,other_incoming_source,HouseholdCharacteristic,
Household,estimated_monthly_expense,HouseholdCharacteristic,
Household,estimated_monthly_income,HouseholdCharacteristic,
Household,classification,HouseholdCharacteristic,
Household,graduation_status,
Household,registration_status,
Household,registration_status_change,
Household,registration_status_report,
Household,registration_status_remove,

